Category,Score,Exchange,Contribution
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",8.40032161782351e-06,heat CHP,6.418923937068131e-05
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",9.726687070329304e-06,electricity CHP,7.432437388068062e-05
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",0.10522448768069942,syncrude,0.804050146492335
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",0.0036561428827158746,H2,0.02793762445643933
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",1.586514163605365e-06,C1C4,1.2123004575987486e-05
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",2.207844048377384e-05,H20,0.0001687076240196968
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",4.50909630481988e-06,naphta,3.4455283407414285e-05
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",8.460525264186064e-06,jet fuel,6.464927250312167e-05
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",372.10016756238286,syngas,91.20672732875089
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",0.0040515784918207665,heat CHP,0.0009930960718865472
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",0.004691300872004922,electricity CHP,0.0011499005825584589
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",34.503153274580754,syncrude,8.457184293444861
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",1.1981072133707467,H2,0.29367210081192757
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",0.007115837641790104,C1C4,0.0017441869692294734
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",0.0990262813093547,H20,0.024272665870939972
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",0.02022421101074728,naphta,0.004957224586003721
"('EF v3.1 no LT', 'land use no LT', 'soil quality index no LT')",0.03794717092685637,jet fuel,0.009301359078380545
